1.18.2,forge,2025/12/26,4.6.5,https://cdn.modrinth.com/data/srNXPOFJ/versions/jhtn122e/cp_lib-4.6.5-build.1428-forge-1.18.2.jar,beta
1.18.2,forge,2025/12/26,4.6.7,https://cdn.modrinth.com/data/srNXPOFJ/versions/tbrvK9Hh/cp_lib-4.6.7-build.1501-forge-1.18.2.jar,beta
1.18.2,forge,2025/12/28,4.6.8,https://cdn.modrinth.com/data/srNXPOFJ/versions/Cy9W3fKE/cp_lib-4.6.8-build.1540-forge-1.18.2.jar,beta
1.18.2,forge,2026/1/1,4.7.0,https://cdn.modrinth.com/data/srNXPOFJ/versions/MrZMvcIH/cp_lib-4.7.0-build.1549-forge-1.18.2.jar,release
1.18.2,forge,2026/1/3,4.7.1,https://cdn.modrinth.com/data/srNXPOFJ/versions/fnPaPZm0/cp_lib-4.7.1-build.1582-forge-1.18.2.jar,release
1.18.2,forge,2026/1/4,4.7.2,https://cdn.modrinth.com/data/srNXPOFJ/versions/WwDVBZrz/cp_lib-4.7.2-build.1583-forge-1.18.2.jar,release
1.18.2,forge,2026/1/9,4.7.5,https://cdn.modrinth.com/data/srNXPOFJ/versions/6lKJtSgC/cp_lib-4.7.5-build.2042-forge-1.18.2.jar,beta
1.18.2,forge,2026/1/13,4.7.6,https://cdn.modrinth.com/data/srNXPOFJ/versions/T2q4iwPO/cp_lib-4.7.6-build.2186-forge-1.18.2.jar,beta
1.18.2,forge,2026/1/16,4.7.7,https://cdn.modrinth.com/data/srNXPOFJ/versions/vIjfoX9X/cp_lib-4.7.7-build.2463-forge-1.18.2.jar,beta
1.18.2,forge,2026/1/21,4.7.8,https://cdn.modrinth.com/data/srNXPOFJ/versions/lkLe62g3/cp_lib-4.7.8-build.2626-forge-1.18.2.jar,beta
1.18.2,forge,2026/1/22,4.7.9,https://cdn.modrinth.com/data/srNXPOFJ/versions/JrKe0tcK/cp_lib-4.7.9-build.2770-forge-1.18.2.jar,beta
1.18.2,forge,2026/1/24,4.7.10,https://cdn.modrinth.com/data/srNXPOFJ/versions/GkOGFqF9/cp_lib-4.7.10-build.2824-forge-1.18.2.jar,release
1.18.2,forge,2026/1/29,4.7.12,https://cdn.modrinth.com/data/srNXPOFJ/versions/jNLmmA5Z/cp_lib-4.7.12-build.2984-forge-1.18.2.jar,release
